Driver_ID,Name,Phone,@lat,@lon,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Total_time_elapsed
1022,Isabella,479-6414-87,49.465723,8.5094707,17 00:50:05,17 01:26:13,0 days 00:59:04.000000000
1023,Lenny,785-7804-91,49.4932352,8.4940076,,26 20:40:52,0 days 00:41:37.000000000
1024,Richard,111-1115-14,49.4419958,8.5718422,14 00:19:32,14 00:57:40,0 days 00:46:57.000000000
1025,Alberta,919-8350-43,49.5126491,8.5174342,11 03:18:35,11 03:35:32,0 days 00:27:25.000000000
1026,Fenton,737-0359-59,49.5140202,8.5171288,30 04:11:11,30 04:50:21,0 days 00:47:45.000000000
1027,Emily,293-8808-24,49.4453715,8.4714567,10 03:52:09,10 04:08:15,0 days 01:09:59.000000000
1028,Alisa,635-5954-89,49.5323106,8.484236,21 02:33:17,21 02:55:40,0 days 00:43:19.000000000
1029,Miley,600-6330-88,49.479909,8.4853539,13 01:24:51,13 01:49:53,0 days 01:03:33.000000000
1030,Adrianna,600-7776-08,49.4799853,8.4851565,,27 02:25:13,0 days 00:56:25.000000000
1031,Alissa,380-2059-33,49.4802,8.4846008,01 01:20:05,01 01:42:07,0 days 00:56:01.000000000
1032,Penelope,713-6849-97,49.485359,8.4757882,23 20:52:10,23 21:11:21,0 days 00:29:33.000000000
1033,Kelvin,590-4706-75,49.4780258,8.5311653,25 19:47:17,25 20:03:24,0 days 00:29:17.000000000
1034,Fenton,501-5818-86,49.4855994,8.4682894,12 21:08:33,12 21:35:54,0 days 00:45:00.000000000
1035,Penelope,645-5013-69,49.4167968,8.5021377,,15 02:12:02,0 days 00:42:52.000000000
1036,Aston,081-2388-73,49.4862061,8.4651623,10 02:11:29,10 02:31:27,0 days 00:32:50.000000000
1037,Caroline,681-5322-61,49.4832286,8.4728636,02 00:26:55,02 00:49:32,0 days 00:59:57.000000000
1038,Jack,924-1675-21,49.481635,8.4727538,08 00:33:48,08 00:58:02,0 days 02:03:45.000000000
1039,Lyndon,817-7679-84,49.4829489,8.47235,16 03:06:57,16 03:36:44,0 days 00:39:27.000000000
1040,Melanie,705-3681-62,49.482731,8.4776862,21 00:22:11,21 00:49:07,0 days 01:21:31.000000000
1041,Alisa,794-7486-82,49.4913316,8.4642746,02 02:01:11,02 02:17:59,0 days 00:32:49.000000000
1042,Steven,125-4620-51,49.4905459,8.4641104,13 19:20:43,13 19:37:28,0 days 00:40:20.000000000
1043,Evelyn,098-0527-98,49.4923657,8.4616575,29 19:37:24,29 19:57:21,0 days 00:48:16.000000000
1044,Sabrina,850-5538-56,49.5347671,8.503935,06 02:11:59,06 02:32:52,0 days 00:48:11.000000000
1045,Frederick,715-1990-06,49.498808,8.4720721,,23 02:31:03,0 days 00:31:35.000000000
1046,Kelvin,414-2805-30,49.4866412,8.4659472,13 18:17:45,13 18:48:09,0 days 00:36:25.000000000
1047,Eddy,150-9615-83,49.4897628,8.4713486,03 00:56:27,03 01:13:55,0 days 00:28:54.000000000
1048,Jasmine,766-8857-00,49.4839371,8.4669409,05 19:27:57,05 19:48:12,0 days 01:36:54.000000000
1049,Victoria,978-7029-77,49.4848868,8.4674589,10 01:24:50,10 02:07:15,0 days 02:39:50.000000000
1050,Derek,823-4084-14,49.4858818,8.4761152,,16 00:08:11,0 days 02:14:41.000000000
1051,Alan,445-2028-89,49.4803283,8.4789872,10 19:43:36,10 20:17:07,0 days 00:49:21.000000000
1052,Alisa,274-3283-35,49.4465365,8.4511897,30 19:21:39,30 19:46:35,0 days 01:26:03.000000000
1053,Victor,787-4263-40,49.4862854,8.4662345,11 01:41:33,11 02:11:14,0 days 00:38:32.000000000
1054,Mike,771-2773-95,49.5500623,8.4488428,02 00:54:43,02 01:12:05,0 days 01:52:35.000000000
1055,Ada,337-9927-15,49.5100636,8.5397145,08 01:24:13,08 01:41:54,0 days 01:38:15.000000000
1056,Aida,404-4077-43,49.4526805,8.4920851,12 19:18:58,12 19:49:58,0 days 01:08:38.000000000
1057,Maya,710-5580-40,49.4556048,8.4709069,04 19:28:22,04 19:54:35,0 days 01:32:41.000000000
1058,Amelia,549-3247-28,49.4829724,8.4722867,04 20:38:50,04 21:10:03,0 days 01:15:01.000000000
1059,Paige,554-3031-98,49.5057806,8.4691826,07 19:28:30,07 19:47:45,0 days 01:00:12.000000000
1060,Justin,328-1264-39,49.4892061,8.4755294,29 03:48:56,29 04:11:08,0 days 00:32:50.000000000
1061,Brooke,470-5722-60,49.4878431,8.4756935,,06 03:53:41,0 days 00:51:21.000000000
1062,Jenna,361-8465-92,49.4455391,8.4676692,19 03:44:58,19 04:07:47,0 days 00:35:01.000000000
1063,Violet,714-6341-35,49.5424171,8.4487698,,18 04:07:37,0 days 01:12:39.000000000
1064,Mary,119-4057-63,49.4957428,8.5533008,03 23:48:19,04 00:13:15,0 days 00:36:26.000000000
1065,Alexander,078-7432-62,49.4916351,8.4687551,,26 00:56:50,0 days 00:42:26.000000000
1066,Marcus,237-1479-03,49.449253,8.5044546,,18 03:34:05,0 days 00:26:06.000000000
1067,Clark,676-8587-59,49.470137,8.4822347,09 02:55:30,09 03:09:20,0 days 00:19:38.000000000
1068,Adelaide,076-4078-91,49.4919663,8.4657594,06 18:55:13,06 19:09:25,0 days 00:44:23.000000000
1069,Carlos,363-9627-21,49.5139005,8.5266369,13 03:02:39,13 03:27:03,0 days 00:54:50.000000000
1070,Honey,352-2915-34,49.49135,8.4709274,19 18:47:19,19 19:05:21,0 days 00:27:38.000000000
1071,Carlos,750-7623-91,49.4896779,8.4663797,,27 20:57:02,0 days 01:05:29.000000000
1072,Garry,350-1237-76,49.4853722,8.4662164,22 01:08:37,22 01:42:39,0 days 00:54:17.000000000
1073,Byron,279-8378-39,49.5141211,8.5153173,,25 01:12:29,0 days 00:41:57.000000000
1074,Michelle,634-9574-80,49.492098,8.4680869,13 00:37:33,13 00:58:31,0 days 00:51:16.000000000
1075,Kristian,266-0363-54,49.4905817,8.4662417,20 03:44:22,20 03:59:32,0 days 00:42:25.000000000
1076,Maria,892-2736-69,49.5018884,8.4856848,04 02:02:56,04 02:14:49,0 days 00:30:32.000000000
1077,Rebecca,925-9499-55,49.4861508,8.5396024,02 04:34:49,02 05:01:03,0 days 00:40:54.000000000
1078,Sophia,516-0267-96,49.4847904,8.4713375,13 02:00:23,13 02:17:19,0 days 01:17:38.000000000
1079,Penelope,432-3898-92,49.4863014,8.471835,07 01:14:18,07 01:52:25,0 days 01:01:59.000000000
1080,Arianna,651-7422-21,49.4863413,8.4711124,28 02:40:07,28 03:03:29,0 days 01:12:32.000000000
1081,Ted,996-4922-97,49.487055,8.4699402,,26 04:28:03,0 days 01:08:17.000000000
1082,Ned,914-8428-10,49.4648978,8.5667252,18 03:43:55,18 04:47:35,0 days 01:23:48.000000000
1083,Heather,678-1221-94,49.4678621,8.5569579,03 02:39:00,03 03:07:21,0 days 00:37:07.000000000
1084,Eddy,076-7567-89,49.4771719,8.4839575,,17 04:35:12,0 days 00:26:23.000000000
1085,Rebecca,880-0237-93,49.4878962,8.467621,24 03:19:01,24 03:41:09,0 days 00:48:23.000000000
1086,Olivia,428-9159-20,49.4855592,8.4744927,01 04:07:37,01 04:33:01,0 days 01:06:36.000000000
1087,Sienna,123-8412-15,49.4857474,8.475129,,05 03:43:27,0 days 00:57:38.000000000
1088,Naomi,677-3575-18,49.4889336,8.468279,,13 21:54:35,0 days 01:15:30.000000000
1089,Alberta,639-7896-57,49.4888089,8.4669552,10 03:04:36,10 03:18:27,0 days 00:34:34.000000000
1090,Oscar,564-4406-31,49.4901376,8.4678174,21 04:01:51,21 04:16:59,0 days 00:51:46.000000000
1091,Kristian,780-4370-80,49.4884843,8.4689284,25 04:34:38,25 05:12:49,0 days 00:47:00.000000000
1092,Kristian,758-3512-65,49.4793424,8.4870167,16 01:30:16,16 01:52:53,0 days 00:35:55.000000000
1093,Honey,860-0296-77,49.4825721,8.4757832,08 00:53:17,08 01:43:59,0 days 01:06:46.000000000
1094,Frederick,801-1064-53,49.4868669,8.4788307,22 01:02:42,22 01:31:24,0 days 00:54:58.000000000
1095,Edgar,698-9872-55,49.4756186,8.4676683,24 19:00:12,24 19:21:11,0 days 01:02:48.000000000
1096,Isabella,632-4155-47,49.4834567,8.4741197,,11 02:45:14,0 days 00:32:36.000000000
1097,Heather,839-5391-31,49.482687,8.4736298,09 19:33:59,09 19:59:00,0 days 01:12:40.000000000
1098,Melissa,997-2167-66,49.4915284,8.4690145,,25 21:06:47,0 days 00:40:06.000000000
1099,Walter,181-8562-45,49.4916463,8.4757881,09 03:47:35,09 04:18:12,0 days 00:36:45.000000000
1100,Byron,755-4203-89,49.4783687,8.5115736,30 01:38:29,30 01:59:10,0 days 00:59:05.000000000
1101,Adam,072-2006-33,49.4786321,8.5076274,06 00:46:41,06 01:56:39,0 days 01:20:10.000000000
1102,Abigail,880-9594-68,49.4372985,8.5245968,22 02:47:50,22 03:13:47,0 days 00:38:54.000000000
1103,Naomi,532-8204-71,49.5173208,8.5078916,,25 21:02:27,0 days 00:43:08.000000000
1104,Kimberly,305-6214-82,49.5020932,8.5067104,06 00:50:59,06 01:20:00,0 days 00:39:25.000000000
1105,Alexia,836-3199-81,49.5092332,8.5142951,06 21:19:00,06 21:44:13,0 days 00:59:20.000000000
1106,Harold,390-9522-22,49.508832,8.5168618,05 01:49:01,05 02:21:13,0 days 00:54:27.000000000
1107,Byron,860-7920-76,49.525651,8.5114649,07 02:24:43,07 03:11:45,0 days 00:57:51.000000000
1108,Byron,171-7893-98,49.5436362,8.4518581,10 02:41:05,10 03:10:19,0 days 00:40:09.000000000
1109,Violet,840-9708-83,49.4805037,8.4855443,20 20:41:03,20 20:59:51,0 days 00:57:44.000000000
1110,Ryan,298-7265-25,49.4887245,8.4714666,,05 01:29:08,0 days 07:52:18.000000000
1111,Ellia,197-7985-45,49.4880301,8.4686197,12 01:13:43,12 01:28:43,0 days 07:41:56.000000000
1112,Brad,533-6791-41,49.4879483,8.468338,19 01:08:32,19 01:30:12,0 days 07:56:36.000000000
1113,Alina,221-2112-23,49.4906801,8.4746755,,26 01:32:19,0 days 07:00:35.000000000
1114,Sienna,938-5169-86,49.454187,8.4683293,05 03:46:40,05 04:14:11,0 days 00:52:34.000000000
1115,Savana,761-3529-18,49.4811359,8.4776603,,,
1116,Albert,572-7431-13,49.4567137,8.4652377,,,
1117,Alisa,798-6033-92,49.4522115,8.4954333,,,
1118,Camila,563-7747-71,49.496318,8.4715527,,,
1119,Ned,545-6150-68,49.4970973,8.472165,,,
1120,Fenton,384-9137-41,49.4921769,8.4878495,,,
1121,Maddie,642-1114-21,49.4608705,8.4776656,,,
1122,Byron,102-6452-88,49.4893261,8.4933747,,,
1123,Alford,521-8663-10,49.5222188,8.491585,,,
1124,Tiana,760-8044-61,49.5033781,8.5149267,,,
1125,Amy,621-5659-97,49.5079869,8.4931005,,,
1126,Victoria,802-1380-71,49.49236,8.526278,,,
1127,Sienna,934-9363-31,49.4769771,8.5224517,,,
1128,Myra,859-5000-09,49.4937448,8.4580019,,,
1129,George,574-0458-70,49.4860917,8.4655532,,,
1130,Ted,259-4300-62,49.4450615,8.5743195,,,
1131,Oscar,671-0730-73,49.4423614,8.5787137,,,
1132,Lyndon,881-1755-37,49.4869351,8.4921706,,,
1133,Rubie,770-6968-24,49.4981387,8.4732722,,,
1134,Kirsten,870-4574-04,49.4899252,8.5359166,,,
1135,Tony,488-0787-61,49.5172887,8.465995,,,
1136,Steven,458-8808-75,49.5152333,8.5187732,,,
1137,Caroline,172-8157-68,49.4858631,8.4698433,,,
1138,Elise,489-6756-18,49.5107815,8.4488403,,,
1139,Tara,580-2499-23,49.4816683,8.4824474,,,
1140,Ted,287-5092-66,49.476934,8.4904428,,,
1141,Elise,907-1803-73,49.4855304,8.468228,,,
1142,Maya,639-0615-91,49.4961912,8.5085669,,,
1143,Honey,016-8320-60,49.4862837,8.4683841,,,
1144,Grace,260-7030-06,49.4851039,8.4695764,,,
1145,Jack,308-1914-14,49.4852305,8.4696901,,,
1146,Caroline,921-6502-02,49.4831286,8.4728017,,,
1147,Darcy,673-8225-84,49.4846062,8.4707507,,,
1148,Evelyn,361-3117-51,49.4878896,8.4670373,,,
1149,Justin,549-8926-76,49.4963323,8.5494439,,,
1150,Alen,783-1801-27,49.4922906,8.4618974,,,
1151,Preston,447-0881-45,49.4926695,8.4608971,,,
1152,Maya,184-7279-51,49.4913729,8.464158,,,
1153,Lucy,097-7448-35,49.4897382,8.466694,,,
1154,Chloe,707-0050-05,49.4891029,8.469928,,,
1155,Edgar,774-3131-24,49.4866992,8.4755132,,,
1156,Tess,919-2349-89,49.4867913,8.4755331,,,
1157,Thomas,946-9084-71,49.4882427,8.475343,,,
1158,Miranda,788-2700-03,49.4865014,8.4754583,,,
1159,Alissa,306-8198-92,49.4861826,8.4753429,,,
1160,Charlie,074-6036-10,49.486599,8.4754851,,,
1161,Maria,351-0514-19,49.4904747,8.4711439,,,
1162,Julia,809-2363-91,49.4967686,8.5456864,,,
1163,Chloe,328-3339-66,49.4872465,8.4694486,,,
1164,Tony,679-0410-66,49.4870225,8.4751671,,,
1165,Walter,733-8150-98,49.4875398,8.470654,,,
1166,Freddie,978-7347-21,49.4872994,8.4710317,,,
1167,Lucy,874-6810-12,49.4876356,8.4704509,,,
1168,Madaline,592-4696-39,49.4883775,8.4692014,,,
1169,Carlos,622-7762-21,49.4875294,8.4692896,,,
1170,Fiona,545-8506-81,49.4886244,8.4685715,,,
1171,Deanna,648-2023-87,49.4890847,8.4661474,,,
1172,Lucia,839-0114-10,49.4851173,8.4756351,,,
1173,Penelope,758-3396-44,49.4809261,8.4768313,,,
1174,Adam,422-0189-48,49.4874728,8.4773471,,,
1175,Amanda,091-7522-29,49.4874639,8.4769376,,,
1176,Anna,073-7311-03,49.4763235,8.4861765,,,
1177,Jack,289-6057-71,49.4742176,8.4823591,,,
1178,Alberta,415-1986-18,49.49475,8.4690145,,,
1179,Steven,810-8215-95,49.498729,8.469232,,,
1180,Arthur,026-3671-80,49.4991521,8.4668748,,,
1181,Miley,844-0155-01,49.4977777,8.4663889,,,
1182,Eric,715-8549-02,49.4975638,8.4831885,,,
1183,Maria,821-6133-36,49.4794853,8.472054,,,
1184,Belinda,262-0356-38,49.4813991,8.4742219,,,
1185,James,744-1266-13,49.4786287,8.477495,,,
1186,Amber,040-1997-86,49.4804767,8.476506,,,
1187,April,072-4897-47,49.4778153,8.4784693,,,
1188,Garry,784-9050-66,49.4953818,8.4645045,,,
1189,Penelope,966-7158-49,49.541797,8.443724,,,
1190,Alen,925-7419-85,49.5429848,8.4447101,,,
1191,Julian,734-5868-87,49.5450668,8.443949,,,
1192,Dale,745-3020-72,49.5472078,8.4402642,,,
1193,Henry,768-1240-34,49.4530171,8.4832541,,,
1194,Stella,131-3865-37,49.4511516,8.4827968,,,
1195,Jessica,512-1307-50,49.4468569,8.4762574,,,
1196,Emily,646-1716-70,49.4389239,8.5678872,,,
1197,Aston,511-2439-19,49.4400781,8.5644486,,,
1198,Chelsea,982-0287-09,49.4562559,8.490458,,,
1199,Kate,651-9957-81,49.4881271,8.5304946,,,
1200,Hailey,142-9211-55,49.4764669,8.4682784,,,
1201,Maximilian,723-4450-27,49.4751812,8.469794,,,
1202,Carina,111-0121-95,49.4535422,8.4924868,,,
1203,Charlie,023-8906-13,49.488484,8.5238172,,,
1204,Sam,200-2455-74,49.4755183,8.4682164,,,
1205,Martin,016-6311-79,49.4622679,8.483792,,,
1206,Adam,439-8656-30,49.4725426,8.5033745,,,
1207,Kate,548-4628-55,49.543881,8.4488753,,,
1208,Spike,230-7540-39,49.4786812,8.5107081,,,
1209,Amanda,182-2474-23,49.486174,8.466456,,,
1210,Edwin,896-5278-11,49.499837,8.5419334,,,
1211,Darcy,154-2510-55,49.4966106,8.4859778,,,
1212,Violet,425-3622-56,49.4589641,8.4735556,,,
1213,Sofia,382-3861-45,49.512737,8.467288,,,
1214,Emily,512-5867-70,49.5124914,8.4671295,,,
1215,Garry,258-6031-33,49.458157,8.4824433,,,
1216,Dominik,056-0422-20,49.4453196,8.4795278,,,
1217,Melanie,363-5903-66,49.524899,8.4814228,,,
1218,Vivian,923-8206-41,49.4872832,8.4644682,,,
1219,Sofia,318-0031-66,49.4430244,8.5185773,,,
1220,Chelsea,552-8993-19,49.4540639,8.4833054,,,
1221,Reid,663-0542-44,49.4360789,8.5227076,,,
1222,Harold,218-4797-80,49.4352875,8.5216643,,,
1223,Alexander,786-8622-19,49.4631285,8.4883263,,,
1224,Kelvin,245-3749-77,49.4829951,8.4722196,,,
1225,Madaline,949-6333-38,49.4968954,8.476234,,,
1226,Grace,285-6894-42,49.4971431,8.4761851,,,
1227,Darcy,486-0528-01,49.4970267,8.475933,,,
1228,Sabrina,149-9759-83,49.4967752,8.4751671,,,
1229,Daryl,567-2946-83,49.4970505,8.4748611,,,
1230,Victoria,233-8467-73,49.5450546,8.4472395,,,
1231,Valeria,426-5097-79,49.518749,8.5559726,,,
1232,Brooke,870-7286-27,49.4856385,8.4667218,,,
1233,Ned,677-5156-13,49.4878391,8.467944,,,
1234,Tiana,869-7612-50,49.4886161,8.4644964,,,
1235,Kevin,649-7110-14,49.4892218,8.4644054,,,
1236,Steven,031-9962-83,49.4810171,8.4762898,,,
1237,Arnold,456-4823-88,49.480104,8.4848493,,,
1238,Alissa,471-6323-86,49.4694261,8.5090971,,,
1239,Arthur,307-2002-15,49.4804221,8.4607014,,,
1240,Amelia,146-4334-00,49.490206,8.4706191,,,
1241,Tyler,884-8598-51,49.493041,8.4597869,,,
1242,Edgar,677-7305-24,49.5252519,8.4810118,,,
1243,Kelvin,949-4077-75,49.4972061,8.5490962,,,
1244,Daniel,083-2776-51,49.4980328,8.5464914,,,
1245,Lucia,593-9269-22,49.4832356,8.4746042,,,
1246,Thomas,736-9587-22,49.4823756,8.4709401,,,
1247,Vivian,568-4155-70,49.4822995,8.4711338,,,
1248,Martin,453-8873-33,49.5048765,8.5273452,,,
1249,Jessica,314-1949-53,49.5071381,8.5112367,,,
1250,Eddy,469-3414-97,49.5081284,8.5226515,,,
1251,Lucia,472-2262-83,49.5219252,8.4935513,,,
1252,Emma,984-9035-56,49.4471452,8.4714246,,,
1253,Olivia,225-8531-97,49.449509,8.470257,,,
1254,Lilianna,981-9370-24,49.5084472,8.4882321,,,
1255,Clark,499-5304-17,49.5089851,8.4892653,,,
1256,Max,727-2665-13,49.5094925,8.4903054,,,
1257,Andrew,952-8347-55,49.5007593,8.4993812,,,
1258,Fiona,660-2880-43,49.49495,8.4886334,,,
1259,Sofia,999-6022-63,49.4593097,8.4905857,,,
1260,Kristian,539-0720-97,49.4558529,8.4922027,,,
1261,Adrian,513-5442-20,49.4528379,8.4887736,,,
1262,Gianna,346-5285-10,49.4530401,8.4909072,,,
1263,Florrie,909-7535-95,49.4539247,8.4874756,,,
1264,Lucas,881-7350-89,49.4667749,8.5640537,,,
1265,Florrie,130-2342-42,49.4688456,8.559374,,,
1266,Kelsey,306-9621-69,49.4720339,8.5485946,,,
1267,Preston,440-9150-52,49.4672349,8.5625126,,,
1268,Haris,991-5752-81,49.4621969,8.5690339,,,
1269,Chloe,428-5750-41,49.4681408,8.5611951,,,
1270,Deanna,061-1148-48,49.4688574,8.5598249,,,
1271,Rebecca,035-6278-03,49.4865645,8.5349816,,,
1272,Adrianna,235-9740-56,49.4496696,8.5249951,,,
1273,John,339-8838-31,49.4900988,8.4670771,,,
1274,Lilianna,296-7651-04,49.5314924,8.4874487,,,
1275,April,190-8953-28,49.4398897,8.5747313,,,
1276,Fenton,615-2015-24,49.509752,8.4848867,,,
1277,Lenny,306-6425-16,49.4796206,8.4700945,,,
1278,Sofia,832-6337-73,49.4792775,8.4615814,,,
1279,Clark,646-0625-31,49.4861373,8.4625386,,,
1280,Steven,062-1238-42,49.5620935,8.4784708,,,
1281,Eleanor,550-1592-05,49.5618211,8.4484452,,,
1282,Amanda,583-3949-02,49.4848946,8.4542117,,,
1283,Sawyer,144-7344-91,49.4816077,8.4713064,,,
1284,Dainton,458-0310-67,49.4821281,8.4715702,,,
1285,Owen,508-2217-57,49.4859536,8.4670017,,,
1286,Ada,792-8369-77,49.4854759,8.4665728,,,
1287,Garry,038-1433-41,49.4848649,8.4693613,,,
1288,Harold,199-9755-05,49.4826891,8.4696125,,,
1289,Myra,935-6216-11,49.4876038,8.4609527,,,
1290,Adele,247-6839-23,49.4894676,8.458875,,,
1291,Chloe,673-2345-39,49.4908424,8.4677421,,,
1292,Patrick,727-8176-79,49.4853341,8.4935469,,,
1293,Fiona,755-9618-52,49.5527336,8.4755841,,,
1294,Audrey,667-4206-55,49.5003179,8.4928763,,,
1295,Ned,344-9290-77,49.4805675,8.4687772,,,
1296,Lucy,916-7214-61,49.4797659,8.4719118,,,
1297,Madaline,690-7598-75,49.4812179,8.473156,,,
1298,Lyndon,107-9592-73,49.4577963,8.4801645,,,
1299,Tess,157-8950-35,49.4553761,8.4813984,,,
1300,Savana,270-1421-03,49.4743556,8.4653374,,,
1301,Roman,507-8154-27,49.4672617,8.5573117,,,
1302,Henry,903-5428-09,49.5123656,8.5195584,,,
1303,Jordan,694-2982-05,49.5126551,8.5179348,,,
1304,Evelyn,220-9657-47,49.5125189,8.5153228,,,
1305,Owen,776-3102-40,49.513132,8.5128654,,,
1306,Abigail,554-2271-12,49.5159587,8.5118067,,,
1307,Tony,170-9181-88,49.5149071,8.5143405,,,
1308,Abigail,928-0257-84,49.5113888,8.5175771,,,
1309,Julian,662-1836-73,49.496419,8.4758147,,,
1310,Audrey,018-4545-88,49.5031168,8.4950329,,,
1311,George,058-9621-69,49.4264151,8.5302937,,,
1312,Eddy,332-8657-23,49.489748,8.4661361,,,
1313,Tess,423-5604-53,49.4982566,8.4571425,,,
1314,Connie,477-7805-50,49.4814081,8.5318051,,,
1315,Sofia,951-5571-81,49.4783824,8.5115245,,,
1316,Emily,355-1120-04,49.5251826,8.4815032,,,
1317,Garry,479-2822-95,49.4900163,8.4669603,,,
1318,Dominik,364-2109-98,49.4489185,8.5560389,,,
1319,Melanie,208-8736-16,49.52964,8.4928493,,,
1320,Vivian,947-8920-62,49.4949626,8.4567841,,,
1321,Sofia,828-9501-58,49.5079342,8.4775064,,,
1322,Chelsea,524-2822-45,49.4167828,8.5016795,,,
1323,Reid,763-7062-01,49.4889781,8.4611268,,,
1324,Harold,301-1838-79,49.5472044,8.4739867,,,
1325,Alexander,804-1357-34,49.4749371,8.4694064,,,
1326,Kelvin,618-4909-46,49.4918173,8.4735069,,,
1327,Madaline,658-9708-74,49.4515917,8.4943701,,,
1328,Grace,617-3354-95,49.4867914,8.5083772,,,
1329,Darcy,602-5438-82,49.4883458,8.5135635,,,
1330,Sabrina,770-4911-71,49.4884919,8.4633373,,,
1331,Daryl,393-3194-66,49.4794922,8.4703637,,,
1332,Victoria,978-8441-95,49.4924352,8.4619407,,,
1333,Valeria,429-6081-65,49.4766031,8.510712,,,
1334,Brooke,440-9096-84,49.479881,8.4759428,,,
1335,Ned,231-7143-97,49.4797224,8.4755016,,,
1336,Tiana,580-3326-46,49.4912876,8.4710863,,,
1337,Kevin,041-9915-43,49.4691678,8.4848623,,,
1338,Steven,784-6092-77,49.461436,8.4774364,,,
1339,Arnold,738-2116-31,49.487101,8.4722751,,,
1340,Alissa,566-9823-81,49.4869009,8.4727794,,,
1341,Arthur,286-3758-12,49.4784005,8.5113643,,,
1342,Amelia,955-3543-97,49.4866854,8.4731344,,,
1343,Tyler,907-7835-58,49.5434406,8.4407103,,,
1344,Edgar,566-2238-49,49.4905405,8.4667318,,,
1345,Kelvin,408-4558-20,49.4792827,8.4619363,,,
1346,Daniel,386-0366-53,49.4868861,8.5307644,,,
1347,Lucia,855-0783-52,49.538904,8.473423,,,
1348,Thomas,295-8630-13,49.4481511,8.4881937,,,
1349,Vivian,070-6017-35,49.4521151,8.4670188,,,
1350,Martin,389-1680-33,49.4938471,8.4591534,,,
1351,Jessica,199-4540-70,49.4939988,8.4581238,,,
1352,Eddy,329-4099-06,49.4936647,8.4589702,,,
1353,Lucia,302-3179-84,49.4941266,8.4596755,,,
1354,Emma,884-8843-07,49.5222084,8.4923565,,,
1355,Olivia,376-2928-52,49.5198387,8.4987924,,,
1356,Lilianna,582-6793-56,49.5098999,8.5060435,,,
1357,Clark,120-5346-64,49.5193628,8.5019407,,,
1358,Max,650-8296-50,49.5444631,8.4724832,,,
1359,Andrew,789-8999-10,49.5437621,8.4727681,,,
1360,Fiona,140-2892-27,49.4749834,8.4707609,,,
1361,Sofia,473-4887-72,49.4939157,8.4591819,,,
1362,Kristian,183-8178-13,49.5244833,8.48451,,,
1363,Adrian,246-1207-45,49.4826248,8.4772967,,,
1364,Gianna,093-0055-34,49.4859352,8.4697985,,,
1365,Florrie,164-3818-63,49.4866775,8.4932059,,,
1366,Lucas,690-9639-31,49.4804366,8.4700789,,,
1367,Florrie,254-0845-84,49.5032873,8.4666002,,,
1368,Kelsey,895-7350-67,49.5348559,8.4992753,,,
1369,Preston,400-5248-57,49.4863659,8.4717278,,,
1370,Haris,506-6654-86,49.4339958,8.52661,,,
1371,Chloe,781-1393-35,49.5263265,8.51112,,,
1372,Deanna,509-3223-17,49.4370476,8.5794718,,,
